Title,Price,Image,Link,Type,Deal,Distro,Cidade,Freguesia,Rua,Address,Description,Área útil (m²):,Área bruta (m²):,Tipologia:,Ano de construção:,Casas de Banho:,Certificado Energético:,nº de licença de utilização:,Features,Condição:,Acompanhamento Virtual:
Apartamento T2 para arrendamento,1 590 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlqM3Jyd2cxYjRlbjItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.iO0TH1paxfqW3-9ghAJ1UtmqZQ6NKGgykA3higczuMY/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-arrendamento-ID1b2zQ.html#acfa32df6e,Apartamento,Arrendar,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Rua Comendador Camacho Teixeira,"Rua Comendador Camacho Teixeira , Matosinhos e Leça da Palmeira, Matosinhos","Apartamento T2+1 em Matosinhos Sul com vista de Mar.   *Hall de entrada; *Sala comum; *Cozinha mobilada e equipada, (placa, forno, micro-ondas, frigorífico,) *W. C. social; *Hall dos quartos, *Casa de banho completa; *Dois quartos; *Varanda; *Um quarto interior;   Condições de Arrendamento: Dois Meses de rendas iniciais + duas rendas de caução. IRS e respetiva nota de liquidação. Três Últimos recibos de vencimento. Apresentação de Fiadores com a mesma documentação.   Licença de Utilização 56 emitida em 17/03/1982 pela Camara Municipal de Matosinhos.   **Descrição da zona envolvente** *A 4 min a pé do Mar; *Transportes mesmo à porta; *A 5 min a pé da estação de Metro Matosinhos Sul; *Próximo de todo o tipo de comércio e serviços, tais como escolas, Museu ""Casa da Arquitetura"", Biblioteca, hospital, hotéis, escola de surf, ginásio,etc *Próximo ao Parque da Cidade; *Bons acessos à VCI que permite a ligação aos principais eixos que servem a região (A1, A3 A4, A28 e A41).   Apartment T2 +1 in Matosinhos Sul with sea view. *Entrance Hall;*Living room;*Kitchen furnished and equipped, (plate, oven, microwave, refrigerator,)*W. C. social;*Hall of the rooms,*Complete bathroom;*Two bedrooms;*Balcony;*An interior room; Lease Conditions:Two Months of initial rents + two rents of security deposit.IRS and respective settlement note.Last three pay slips.Presentation of Guarantors with the same documentation. Utilization License 56 issued in 17/03/1982 by Camara Municipal de Matosinhos.  **Description of the surrounding area** It is at a distance of:*A 4 min walk from the Sea;*Transports right at the door;*5 min walk from Matosinhos Sul subway station;*Close to all kinds of commerce and services, such as schools, Museum ""Casa da Arquitetura"", Library, hospital, hotels, surf school, gym, etc*Close to the City Park*Good access to the VCI that allows connection to the main axes that serve the region (A1, A3 A4, A28 and A41).   Appartement T2 +1 à Matosinhos Sul avec vue sur la mer. *Hall d'entrée ;*Salon ;*Cuisine meublée et équipée, (plaque, four, micro-ondes, réfrigérateur,)*W. C. sociale ;*Salle des chambres,*salle de bain complète ;*deux chambres à coucher ;*Balcon ;*Une pièce intérieure ; Conditions de location :Deux mois de loyers initiaux + deux loyers de caution.IRS et note de liquidation respective.Trois derniers bulletins de salaire.Présentation des garants avec la même documentation. Permis d'utilisation 56 délivré le 17.03.1982 par la Camara Municipal de Matosinhos.  **Description de la zone environnante** Situé à une distance de :*4 minutes à pied de la mer ;*Transports à la porte ;*5 minutes à pied de la station de métro Matosinhos Sul ;*Proche de tous les types de commerces et de services, tels que les écoles, le musée ""Casa da Arquitetura"", la bibliothèque, l'hôpital, les hôtels, l'école de surf, la salle de sport, etc.*Proche du parc de la ville*Bon accès à la VCI qui permet de se connecter aux principaux axes qui desservent la région (A1, A3 A4, A28 et A41).   Licença de Utilização - Licença utilização 56  Ano 17/03/1982",114 m²,121 m²,T2,1982,2,C,isento ,"['Cozinha Equipada', 'Mobilado', 'Varanda', 'Elevador']",,
T3 Novo - Samouco,Preço sob consulta,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im95c2F6Znh3NW40eDEtQVBUIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.JmkGO00Oz4hmx_tiHD3XP8pAvuzUy23BHHslHWkR1Bc/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t3-novo-samouco-ID1aOWb.html#acfa32df6e,Apartamento,Arrendar,Setúbal,Alcochete (concelho),Alcochete,Praça Bartolomeu Dias - Urbanização Cerrado da Praia,"T1, T2, T3 e T4, Duplex - Cerrado da Praia","Apartamento T3 NUNCA USADO localizado no Samouco, na vila de Alcochete, que é hoje reconhecida pelo seu comércio local, transportes púbicos em direção à nossa capital, o Outlet Freeport e ainda a maravilhosa vista para o Cristo Rei, Ponte 25 de Abril e Ponte Vasco da Gama.  O apartamento é composto por um lugar de parqueamento, com 20,28m2, uma garagem, com 18.86 m2, e uma arrecadação, com 5.78 m2.   No apartamento encontrará uma espaçosa sala, uma cozinha (que na altura pré-arrendamento será totalmente equipada, com fogão ou placa, combinado de frigorífico e congelador, microondas e forno), uma casa-de-banho de serviço, um quarto e uma suíte.   Acrescenta-se a presença de ar condicionados, estores elétricos e elevador para todos os pisos, incluindo garagem.   Venha visitar-nos!!   ------------------  3 bedroom flat NEVER USED located in Samouco, in the town of Alcochete, which is now recognized for its local shops, pubic transport towards our capital, the Freeport Outlet and also the wonderful view to the Christ the King, 25 April Bridge and Vasco da Gama Bridge.  The flat is composed by a parking space, with 20.28 m2, a garage, with 18.86 m2, and a storage room, with 5.78 m2.  In the flat you will find a spacious living room, a kitchen (which at the time of pre-letting will be fully equipped, with a cooker or hob, a fridge-freezer, a microwave and an oven), a service bathroom, a bedroom and a suite.  It adds the presence of air conditioning and lift to all floors, including garage.   Come visit us!",139 m²,247 m²,T3,,2,B-,102/09 ,"['Ar Condicionado', 'Armário', 'Arrecadação', 'Caldeira', 'Cozinha Equipada', 'Detector de Incêndio', 'Elevador', 'Estacionamento', 'Estores Eléctricos', 'Garagem (box)', 'Parqueamento (1 carro)', 'Suite', 'Varanda']",Novo,
T1 NOVO com vista para o rio Tejo,Preço sob consulta,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVjZGU2ZWgwaXNwMzItQVBUIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.Gdk9IHPihTCdHf-iPFnvuseYWfrXeyC0ZxmdY1eefbo/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t1-novo-com-vista-para-o-rio-tejo-ID1b7Fz.html#acfa32df6e,Apartamento,Arrendar,Setúbal,Alcochete (concelho),Alcochete,Praça Bartolomeu Dias - Urbanização Cerrado da Praia,T2 DUPLEX com vista para o rio Tejo,"T1 de primeiro andar situado na Urbanização Cerrado da Praia, na vila de Alcochete. A vila de Alcochete é hoje reconhecida pelo seu comércio local, transportes púbicos em direção à nossa capital, o Outlet Freeport e ainda a maravilhosa vista para o Cristo Rei, Ponte 25 de Abril e Ponte Vasco da Gama, a qual poderá contemplar através das famosas e espaçosas varandas desta urbanização.  O apartamento foi construído em 2023 e é composto por um lugar de estacionamento na garagem e uma arrecadação, com 20m2, por uma cozinha open-Kitchen com sala, com 33m2, um quarto com roupeiro embutido, com 15m2, uma casa-de-banho social e uma varandas, com 20m2 com vista para o rio Tejo. O apartamento é equipado com eletrodomésticos Smeg e possui ar condicionados da Mitsubishi em todas as divisões - tal como é possível verificar pelas fotografias, o apartamento está ainda a ser acabado, pelo que irá ser um apartamento completamente novo a estrear pelo arrendatário.  Esperamos por si, venha visitar-nos!!  T1 first floor situated in the Urbanization Cerrado da Praia, in the village of Alcochete. The village of Alcochete is now recognized for its local shops, pubic transport towards our capital, the Freeport Outlet and also the wonderful view to the Cristo Rei, 25 de Abril Bridge and Vasco da Gama Bridge, which you can contemplate through the famous and spacious balconies of this urbanization.  The flat was built in 2023 and is composed by a parking space in the garage and a storage room, with 20m2, by an open-Kitchen with living room, with 33m2, a bedroom with built-in wardrobe, with 15m2, a social bathroom and a balcony, with 20m2 overlooking the Tagus River. The flat is equipped with Smeg appliances and has Mitsubishi air conditioning in all divisions - as you can see from the photos, the flat is still being finished, so it will be a brand new flat to be premiered by the tenant.  We are waiting for you, come visit us!",90 m²,40 m²,T1,2023,1,B,37/2022 ,"['Ar Condicionado', 'Armário', 'Arrecadação', 'Cozinha Equipada', 'Elevador', 'Estacionamento', 'Estores Eléctricos', 'Jardim', 'Parque Infantil', 'Parqueamento (1 carro)', 'Terraço', 'Vista de rio']",Novo,
"Soberbo enorme duplex T3, soberbas vistas desafogadas de Lisboa, terra",4 500 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InA0MGY2d3Jwc3lvdS1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.-c4lI7Fwk5Srgfo2Nz8M4lmvdSw5e4plPLdYqpDcdJY/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/soberbo-enorme-duplex-t3-soberbas-vistas-desafogadas-de-lisboa-terra-ID1baEQ.html#acfa32df6e,Apartamento,Arrendar,Lisboa (distrito),Lisboa,São Vicente,Miradouro Sophia Mello Breyner Andresen,"Miradouro Sophia Mello Breyner Andresen , São Vicente, Lisboa","Soberbo e enorme duplex T3, soberbas vistas desafogadas de Lisboa, terraço, jardim e garagemMansão antiga dividida em dois duplexes, com vistas soberbas sobre Lisboa, amplos espaços de estar, um espaçoso terraço com vistas incríveis e um grande jardim fechado com árvores onde pode receber e churrasco. Da entrada você pode notar os tectos altos, os quartos espaçosos e luminosos, os inúmeros espaços de armazenamento, este apartamento é feito para viver e receber. Um grande espaço de armazenamento, em seguida, uma casa de banho à sua direita, e à sua esquerda uma área de recepção composta por 3 salas de estar em fila com vista para o terraço com uma vista fabulosa de Lisboa. Este terraço e sua incrível escadaria de ferro forjado coberta de vegetação irão levá-lo diretamente ao jardim, se desejar. Os pisos em parquet são magníficos, as janelas altas com persianas interiores sem vis-à-vis têm vista desobstruída de Lisboa e, a sudoeste, a luz entra. Ar condicionado, claro, reversível. A cozinha equipada com uma entrada secundária para o pessoal da casa, uma sala de jantar, armários, muitos armários e uma soberba madeira africana como um console sem esquecer o seu magnífico piso de cerâmica francesa. O espaço privado é composto por 3 quartos grandes, incluindo uma comunicação se necessário, 2 outras casas de banho, uma sala de vestir e uma lavandaria composta por uma máquina de lavar roupa, uma secadora, mas também uma despensa com um frigorífico-congelador adicional. Dois quartos têm acesso direto ao jardim, o último é fechado com árvores e flores, incluindo rega automática, um churrasco e a chegada mensal de um jardineiro que irá manter para você este delicioso canto ensolarado e tão tranquilo de vegetação. Uma garagem fechada perto de completar esta magnífica propriedade Salas de estar: 63 m2 Cozinha: 20 m2 Terraço: 16 m2 Jardim: 85 m2 Entrada: 16 m2 Quartos: 19m2; 19m2 e 21 m2Casa de banho: 5m2; 6m2; 9m2Vestiário: 13m2Lavanderia: 8 m2","228,31 m²","330,02 m²",T3,,3,Isento / Em Trâmite,anterior 1951 ,"['Ar Condicionado', 'Cozinha Equipada', 'Jardim', 'Churrasco', 'Despensa', 'Garagem (box)', 'Porta Blindada', 'Terraço', 'Vista de cidade']",Usado,
Apartamento T3 para arrendamento,2 950 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inhranplb2J0cjU0MDItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.2h2a-U1W0GwXhpPqUQPha6d-mC6L8gX7lqyp4Q6hUvs/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-arrendamento-ID1bgv3.html#acfa32df6e,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Santa Maria Maior,,"Santa Maria Maior, Lisboa, Lisboa","Apartamento T3* com afetação de serviços na documentação para venda Rua da Prata Na Rua da Prata, coração da Baixa Pombalina, situa-se este ensolarado e elegante apartamento, mobiliado e decorado por um designer de interiores, espaço confortável e de cores vivas, detalhes em madeira e muita luz natural dão ao apartamento seu caráter único. Os 3 quartos luxuosos dão um toque de romance, cozinha equipada. Uma máquina de café de marca conceituada acrescenta requinte ao espaço. Todo apartamento possui ar condicionado. As altas janelas que se abrem para uma vista deslumbrante da cidade e deixam entrar a luz do sol. No coração do histórico bairro da Baixa de Lisboa. Conhecida por suas avenidas de paralelepípedos, praças abertas, ótimos restaurantes e edifícios históricos, a Baixa é uma das áreas mais populares da cidade. Perto da Praça do Rossio (6 minutos), da Praça dos Restauradores (8 minutos) e da Praça do Comércio (14 minutos). E vários monumentos tais como: A Basílica dos Mártires (10 minutos), a Igreja da Madalena (10 minutos), a Igreja de São Domingos (5 minutos) e o emblemático elevador de Stª Justa (5 minutos). Todos transportes da cidade estão perto, autocarros e elétricos circulam na esquina a 2 minutos da porta assim como o metro (estação do Rossio, Baixa-Chiado e Restauradores). A bonita estação de comboios dos Restauradores fica também a 5 minutos e ainda cais de embarque para o outro lado do Rio. Facilitando assim o acesso a dentro e fora da cidade.PODE SER VENDIDO SEM MOBILIA. *Tipologia não averbado na documentação. Licença de Utilização -",99 m²,110 m²,T3,1940,2,E,isento ,"['Ar Condicionado', 'Cozinha Equipada', 'Mobilado', 'Varanda']",,
Apartamento T3 para arrendamento,3 250 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijd1YmYxZnh0ejFzeDItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.sqP-1NCZ5Dq89Jy_3bZB-9tlVSn1HkPc6eXxSqBR0tY/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-arrendamento-ID1bg7S.html#acfa32df6e,Apartamento,Arrendar,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Rua Comendador Camacho Teixeira,"Rua Comendador Camacho Teixeira , Matosinhos e Leça da Palmeira, Matosinhos","Procura um apartamento espaçoso, com muito sol e próximo de tudo? Temos a solução ideal para si!   Este magnifico apartamento T3 no último piso oferece-lhe uma suite, 1 wc e mais 1 casa de banho completa de apoio aos 2 quartos, uma sala ampla e luminosa cozinha equipada, dois lugares de garagem e uns arrumos ótimos para guardar toda a sua bagagem e utensílios.  Poderá ainda usufruir de um magnifico terraço com 22,70 m2 com vistas deslumbrantes e muita luz natural. Além disso, fica a poucos minutos de distância da praia e de todas as comodidades que precisa, incluindo o metro e outros serviços. Este apartamento é a opção perfeita para quem procura um espaço acolhedor e prático, numa área residencial tranquila e conveniente. Não perca mais tempo, marque já a sua visita! (Licença de Utilização nº194/18 de 20-07-2018 emitida pela CMM)"".   _   Are you looking for a spacious apartment, with lots of sun and close to everything? We have the ideal solution for you!  This magnificent T3 apartment on the top floor offers you a suite, 1 bathroom and 1 more bathroom to support the 2 bedrooms, a large and bright living room equipped kitchen, two parking spaces and great storage to store all your luggage. and utensils.  You can also enjoy a magnificent terrace with 22.70 m2 with stunning views and plenty of natural light. In addition, it is just a few minutes away from the beach and all the amenities you need, including the metro and other services.  This apartment is the perfect option for anyone looking for a cozy and practical space in a quiet and convenient residential area.  Don't waste any more time, book your visit now!    (Use License No. 194/18 of 7/20/2018 issued by CMM)""._ Vous cherchez un appartement spacieux, ensoleillé et proche de tout ? Nous avons la solution idéale pour vous !  Ce magnifique appartement T3 au dernier étage vous offre une suite, 1 salle de bain et 1 salle de bain en plus pour soutenir les 2 chambres, un grand et lumineux séjour, une cuisine équipée, deux places de parking et de grands rangements pour ranger tous vos bagages et ustensiles.  Vous pouvez également profiter d'une magnifique terrasse de 22,70 m2 avec une vue imprenable et beaucoup de lumière naturelle. De plus, il n'est qu'à quelques minutes de la plage et de toutes les commodités dont vous avez besoin, dont le métro et d'autres services.  Cet appartement est l'option parfaite pour tous ceux qui recherchent un espace confortable et pratique dans un quartier résidentiel calme et pratique.  Ne perdez plus de temps, réservez votre visite dès maintenant !    (Utiliser la licence n° 194/18 du 20/07/2018 délivrée par CMM)"". Licença de Utilização - 194/18","114,60 m²","145,70 m²",T3,2018,3,B,isento ,"['Cozinha Equipada', 'Gás Canalizado', 'Elevador', 'Parqueamento (2 carros)']",,
"Excelente T3 -Boavista, Pinheiro Manso",1 600 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRyc3ByYnljdjVhNjMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ._C0DXI8pM_Ch8Fid1xT7Wk7kp2CRYZ8rIWsVjOsOvJ8/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/excelente-t3-boavista-pinheiro-manso-ID1b1EJ.html#acfa32df6e,Apartamento,Arrendar,Porto (distrito),Porto,Ramalde,,"Ramalde, Porto, Porto","Excelente T3, localizado na zona do Pinheiro Manso, próximo da Boavista, junto aos principais acessos e transportes da cidade e rodeado de todo o tipo de comércio e serviços, escolas, Liceu Fontes Pereira Melo, Clara Resende, transportes, autocarro e estação metro a 1500 m, comércio variado, supermercados, pastelarias, padarias, farmácias, lojas de e restaurantes, fácil acesso às principais vias da Cidade Porto, Matosinhos, aeroporto, A1, A28, e A4 e a 100 metros da avenida do Bessa,    Apartamento com duas frentes, composto por Hall de entrada, Sala comum (com lareira) Cozinha totalmente equipada com espaço para refeições Dispensa, duas casas de banho, duas varandas, 3 Quartos, Hall dos quartos com armário embutido,   Condições de arrendamento:  	2 meses de renda + caução € 2000€ 	Arrendamento com Fiador de preferência   	Fiadores (dependendo dos rendimentos apresentados), após analise previa; 	3 últimos recibos de vencimento,     Declaração e Nota de liquidação de IRS    Contrato mínimo de 1 ano, preferencialmente períodos superiores 2/3 anos     Disponível de imediato   Não perca a oportunidade e marque já a sua visita!",109 m²,120 m²,T3,1994,2,B-,153,"['Segurança 24 horas', 'Porta Blindada', 'Varanda', 'Vista de cidade', 'Portaria', 'Elevador', 'Cozinha Equipada', 'Lareira', 'Jardim', 'Despensa', 'Estacionamento', 'Parqueamento (1 carro)', 'Arrecadação', 'Video Porteiro']",Usado,
T3 mobilado com vista para o rio Tejo,Preço sob consulta,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdoN3U0NmF2NnhvYzMtQVBUIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.wHijD203s0pDplRoSi6iYKG6iNC9jVEVrsOfYRkYZqg/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t3-mobilado-com-vista-para-o-rio-tejo-ID19Xyo.html#acfa32df6e,Apartamento,Arrendar,Setúbal,Alcochete (concelho),Alcochete,Praça Bartolomeu Dias - Urbanização Cerrado da Praia,T3 Duplex,"T3 situado na Urbanização Cerrado da Praia, na vila de Alcochete.   A vila de Alcochete é hoje reconhecida pelo seu comércio local, transportes púbicos em direção à nossa capital, o Outlet Freeport e ainda a maravilhosa vista para o Cristo Rei, Ponte 25 de Abril e Ponte Vasco da Gama, a qual poderá contemplar através das famosas e espaçosas varandas desta urbanização.  O apartamento é composto por um lugar de estacionamento na garagem e uma arrecadação.   No apartamento poderá encontrar uma espaçosa sala com 28m2 e a cozinha equipada com placa de indução, frigorifico, microondas e forno, com 18m2, com acesso ao primeira terraço, com 44m2 e um barbecue, com vista para o rio Tejo.  O apartamento possuí uma casa-de-banho de serviço, com 4m2, dois quartos e uma suíte. O primeiro quarto e segundo quarto, com armários embutidos têm 15m2 e 13m2, respetivamente. A suíte, igualmente com armários embutidos, tem 20m2, sendo que todos os três quartos dão acesso ao segundo terraço, com 42m2.  O apartamento está todo mobilado, havendo, contudo, a possibilidade de ser o cliente a mobilar o mesmo, se assim for o seu desejo!  Aguardamos o seu contacto!! Venha visitar-nos!! ",220 m²,,T3,2020,2,B-,2/2020 ,"['Ar Condicionado', 'Armário', 'Arrecadação', 'Churrasco', 'Cozinha Equipada', 'Elevador', 'Estacionamento', 'Estores Eléctricos', 'Garagem (box)', 'Jardim', 'Marquise', 'Mobilado', 'Parque Infantil', 'Suite', 'Terraço', 'Vista de cidade', 'Vista de rio']",Novo,
Apartamento T3 com terraço sem mobília no Saldanha,1 800 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inl6dmdrZnA5M3Y2MzMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.mLpQw8WqBawrd1bvib5C_TFfSdgS7hP-CYr-5bnPazM/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-terraco-sem-mobilia-no-saldanha-ID1bfUc.html#acfa32df6e,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Avenidas Novas,Avenida Praia da Vitória,"Avenida Praia da Vitória , Avenidas Novas, Lisboa","Identificação do imóvel: ZMPT557994  Apartamento T3 para arrendar em pleno Saldanha. - sala com duas zonas, janelas duplas e varanda corrida - 3 quartos com armários, dois deles com acesso a um terraço - cozinha com eletrodomésticos - zona de arrumos - despensa - duas casas de banho - não está mobilado  O prédio é muito calmo e bem cuidado, com um apartamento por piso. Está localizado numa zona muito central, com Metro, supermercados, e tudo o que precisa. O estacionamento na rua tem dístico para residentes e existem parques com avença nas redondezas.  Licença de Utilização nº 105, emitida em 15/04/1975  3 razões para comprar com a Zome  + acompanhamento  Com uma preparação e experiência única no mercado imobiliário, os consultores Zome põem toda a sua dedicação em dar-lhe o melhor acompanhamento, orientando-o com a máxima confiança, na direção certa das suas necessidades e ambições.  Daqui para a frente, vamos criar uma relação próxima e escutar com atenção as suas expectativas, porque a nossa prioridade é a sua felicidade! Porque é importante que sinta que está acompanhado, e que estamos consigo sempre.  + simples  Os consultores Zome têm uma formação única no mercado, ancorada na partilha de experiência prática entre profissionais e fortalecida pelo conhecimento de neurociência aplicada que lhes permite simplificar e tornar mais eficaz a sua experiência imobiliária.  Deixe para trás os pesadelos burocráticos porque na Zome encontra o apoio total de uma equipa experiente e multidisciplinar que lhe dá suporte prático em todos os aspetos fundamentais, para que a sua experiência imobiliária supere as expectativas.  + feliz  O nosso maior valor é entregar-lhe felicidade!  Liberte-se de preocupações e ganhe o tempo de qualidade que necessita para se dedicar ao que lhe faz mais feliz.  Agimos diariamente para trazer mais valor à sua vida com o aconselhamento fiável de que precisa para, juntos, conseguirmos atingir os melhores resultados.  Com a Zome nunca vai estar perdido ou desacompanhado e encontrará algo que não tem preço: a sua máxima tranquilidade!  É assim que se vai sentir ao longo de toda a experiência: Tranquilo, seguro, confortável e... FELIZ!  Notas: 1. Caso seja um consultor imobiliário, este imóvel está disponível para partilha de negócio. Não hesite em apresentar aos seus clientes compradores e fale connosco para agendar a sua visita. 2. Para maior facilidade na identificação deste imóvel, por favor, refira o respetivo ID ZMPT ou o respetivo agente que lhe tenha enviado a sugestão.",120 m²,105 m²,T3,1974,1,E,00105,"['Terraço', 'Varanda']",Usado,
"T2 no Mais Famoso Condomínio da Serra de Carnaxide | Piscinas, Cortes",2 350 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN1anM3Y256OGk2bzEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.ol6GGVnQYkbRyYZbdZ23eDR2-vA3R8B2reWi1oNm9vc/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t2-no-mais-famoso-condominio-da-serra-de-carnaxide-piscinas-cortes-ID1bgtI.html#acfa32df6e,Apartamento,Arrendar,Lisboa,Oeiras,Carnaxide e Queijas,,"Carnaxide e Queijas, Oeiras, Lisboa","O seu novo apartamento encontra-se localizado no Condomínio do Parque de Santa Cruz, o mais famoso empreendimento da Serra de Carnaxide. A notoriedade deste condomínio precede-o não só pela boa dimensão dos seus imóveis, como pelas comodidades que o mesmo oferece, a saber: piscinas principal e infantil, cortes de ténis, jardins, sala de jogos e salão de festas, segurança 24h, garagem e arrecadação, aliadas a uma das localizações preferidas da Grande Lisboa, pertencendo Carnaxide ao Concelho de Oeiras.Com cerca de 15 anos, ainda não foi construído, nas redondezas, empreendimento com o conjunto de características que o Condomínio do Parque de Santa Cruz tem para lhe oferecer. Desde logo, é um empreendimento muito desejado para famílias com crianças, pois o espaço exterior e a diversidade de atividades que aí se podem desenvolver, em total segurança, são inúmeras. A vista da sala é totalmente desafogada (voltada para os espaços exteriores e verdejantes do condomínio) e tocada a Sol durante toda a tarde (Poente). Venha desfrutar de um fantástico pôr-do-sol nos seus novos jardins ou no conforto da varanda da sua sala!Com efeito, o seu novo T2 conta com 98.5m2 de Área Bruta Privativa e 48.9m2 de Área Bruta Dependente, contando com várias características especiais: 2 wc (um dos dois quartos é uma suite), 1 lugar de estacionamento (garagem coberta), 1 boa arrecadação (ao lado de um dos lugares de estacionamento e ao lado da porta que dá acesso aos elevadores do prédio).A sua casa nova dispõe de rápidos acessos ao centro de Lisboa ou de Cascais, situando-se a muito escassos minutos de carro da A5. À porta de casa encontrará o conceituado Colégio Monte Flor e, a 5 minutos de carro, a PARK International School. Também a 5 minutos de carro desfrute igualmente do Parque Florestal do Monsanto e, a 10 minutos, desça até Belém e ao Rio Tejo. O seu novo empreendimento vai permitir-lhe, sem dúvida, reconectar-se com a natureza! A poucos minutos da sua nova casa encontrará ainda todos os serviços essenciais de que necessita: farmácias, bancos, correios, escolas, centro de saúde e grandes superfícies (Carnaxide e Alfragide). Envolvência:- Hospitais e Clínicas: Hospital Amadora Sintra, Francisco Xavier, CUF Belém, Centro de Saúde.- Universidades (proximidade de Belém e da Ajuda): Instituto de Agronomia; ISCSP - Instituto Superior de Ciências Sociais e Políticas da Universidade de Lisboa; Faculdade de Medicina Veterinária e Faculdade de Arquitetura da Universidade de Lisboa.- Escolas e Colégios: Colégio Monte Flor; Park International School; Casa da Árvore; Colégio de São José; As Descobertas; Colégio da Torre; Colégio Hellen Keller; Colégio do Bom Sucesso.- Mercados (proximidade de Belém, Ajuda, Algés): Boa Hora / Ajuda e Algés.- Parques: Florestal do Monsanto.- Museus e Cultura (proximidade de Belém): CCB, Museu Coleção Berardo, Mosteiro dos Jerónimos, Museu da Marinha, Padrão dos Descobrimentos, Torre de Belém, Cordoaria Nacional, Museu da Presidência da República, Museu Nacional dos Coches, MAAT (Museu de Arte, Arquitetura e Tecnologia), Museu da Eletricidade, Museu de Arte Popular, entre outros.Venha melhorar a sua qualidade de vida a partir… Hoje! Venha descobrir o Condomínio de Santa Cruz!Contacte-nos para mais informações: não perca esta oportunidade!Partilhamos o negócio (50/50) com TODOS os consultores e agências imobiliários com licença AMI válida para o efeito.Esperamos por si. Obrigada e até já!",88 m²,148 m²,T2,,2,B-,236/221 ,"['Condomínio fechado', 'Jardim', 'Piscina', 'Portaria', 'Gás Canalizado', 'Aquecimento Central', 'Parqueamento (1 carro)', 'Varanda', 'Arrecadação', 'Suite', 'Elevador']",Usado,
